# Sherwood number,Power number,LCOW,Energy Consumption,Volumetric Recovery,Membrane area,cp_average,Pressure drop,Average K,Average f,Average Re,Average Sh,Average Pn,Inlet velocity,Outlet velocity,Sherwood number,Power number,Channel height,Spacer porosity,Length,Number of pressure vessels,Telescoping potential,Operating pressure,Outlet bulk concentration,Outlet interface concentration
1.534127e+01,1.930698e+06,9.266093e-01,5.384995e+00,5.000000e-01,4.905276e+04,1.525236e+00,-2.336402e+05,2.992502e-05,2.904396e+00,2.184691e+02,1.534127e+01,1.930698e+06,2.500000e-01,1.251536e-01,1.534127e+01,1.930698e+06,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,3.894003e-01,1.140130e+07,6.980157e+01,9.810711e+01
1.534127e+01,2.682696e+06,9.330964e-01,5.436460e+00,5.000000e-01,4.905276e+04,1.525400e+00,-3.248211e+05,2.992508e-05,4.039263e+00,2.183851e+02,1.534127e+01,2.682696e+06,2.500000e-01,1.251536e-01,1.534127e+01,2.682696e+06,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,5.413684e-01,1.146736e+07,6.980153e+01,9.797707e+01
1.534127e+01,3.727594e+06,9.421308e-01,5.508117e+00,5.000000e-01,4.905276e+04,1.525631e+00,-4.516840e+05,2.992517e-05,5.619557e+00,2.182685e+02,1.534127e+01,3.727594e+06,2.500000e-01,1.251536e-01,1.534127e+01,3.727594e+06,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,7.528066e-01,1.155938e+07,6.980146e+01,9.779681e+01
1.534127e+01,5.179475e+06,9.547238e-01,5.607971e+00,5.000000e-01,4.905276e+04,1.525960e+00,-6.282842e+05,2.992529e-05,7.821991e+00,2.181068e+02,1.534127e+01,5.179475e+06,2.500000e-01,1.251536e-01,1.534127e+01,5.179475e+06,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,1.047140e+00,1.168770e+07,6.980138e+01,9.754720e+01
1.534127e+01,7.196857e+06,9.722988e-01,5.747271e+00,5.000000e-01,4.905276e+04,1.526432e+00,-8.743005e+05,2.992547e-05,1.089521e+01,2.178824e+02,1.534127e+01,7.196857e+06,2.500000e-01,1.251536e-01,1.534127e+01,7.196857e+06,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,1.457167e+00,1.186688e+07,6.980125e+01,9.720203e+01
1.534127e+01,1.000000e+07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.900169e+01,1.000000e+05,8.660631e-01,4.984393e+00,5.000000e-01,4.905276e+04,1.405342e+00,-1.209302e+04,3.706506e-05,1.502614e-01,2.185782e+02,1.900169e+01,1.000000e+05,2.500000e-01,1.251537e-01,1.900169e+01,1.000000e+05,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,2.015503e-02,1.065692e+07,6.981014e+01,9.202219e+01
1.900169e+01,1.389495e+05,8.663981e-01,4.987051e+00,5.000000e-01,4.905276e+04,1.405348e+00,-1.680374e+04,3.706506e-05,2.087985e-01,2.185733e+02,1.900169e+01,1.389495e+05,2.500000e-01,1.251537e-01,1.900169e+01,1.389495e+05,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,2.800623e-02,1.066033e+07,6.981014e+01,9.201640e+01
1.900169e+01,1.930698e+05,8.668637e-01,4.990745e+00,5.000000e-01,4.905276e+04,1.405356e+00,-2.334976e+04,3.706507e-05,2.901457e-01,2.185664e+02,1.900169e+01,1.930698e+05,2.500000e-01,1.251537e-01,1.900169e+01,1.930698e+05,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,3.891627e-02,1.066507e+07,6.981013e+01,9.200834e+01
1.900169e+01,2.682696e+05,8.675108e-01,4.995879e+00,5.000000e-01,4.905276e+04,1.405367e+00,-3.244641e+04,3.706508e-05,4.031968e-01,2.185569e+02,1.900169e+01,2.682696e+05,2.500000e-01,1.251537e-01,1.900169e+01,2.682696e+05,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,5.407736e-02,1.067166e+07,6.981013e+01,9.199715e+01
